Fuel Type Code,Station Name,Street Address,Intersection Directions,City,State,ZIP,Plus4,Station Phone,Status Code,Expected Date,Groups With Access Code,Access Days Time,Cards Accepted,BD Blends,NG Fill Type Code,NG PSI,EV Level1 EVSE Num,EV Level2 EVSE Num,EV DC Fast Count,EV Other Info,EV Network,EV Network Web,Geocode Status,Latitude,Longitude,Date Last Confirmed,ID,Updated At,Owner Type Code,Federal Agency ID,Federal Agency Name,Open Date,Hydrogen Status Link,NG Vehicle Class,LPG Primary,E85 Blender Pump,EV Connector Types,Country,Intersection Directions (French),Access Days Time (French),BD Blends (French),Groups With Access Code (French),Hydrogen Is Retail,Access Code,Access Detail Code,Federal Agency Code,Facility Type,CNG Dispenser Num,CNG On-Site Renewable Source,CNG Total Compression Capacity,CNG Storage Capacity,LNG On-Site Renewable Source,E85 Other Ethanol Blends,EV Pricing,EV Pricing (French),LPG Nozzle Types,Hydrogen Pressures,Hydrogen Standards,CNG Fill Type Code,CNG PSI,CNG Vehicle Class,LNG Vehicle Class,EV On-Site Renewable Source
ELEC,14001 Notre-Dame E.,14001 Notre-Dame E.,,Montréal,QC,H1A 1T9,,855-999-8378,E,,Public,24 hours daily,,,,,,2,,,Circuit électrique,https://lecircuitelectrique.com/,GPS,45.668567,-73.49462,2020-12-12,165691,2020-12-12 01:16:56 UTC,,,,,,,,,J1772,CA,,Accessible 24 heures par jour,,Public,,public,,,,,,,,,,,,,,,,,,,
ELEC,Desjardins - Pointe-aux-Trembles,13120 rue Sherbrooke Est,,Montréal,QC,H1A 3W2,,855-999-8378,E,,Public,24 hours daily,,,,,,1,,,Circuit électrique,https://lecircuitelectrique.com/,GPS,45.657335,-73.508256,2020-12-12,145094,2020-12-12 01:16:56 UTC,,,,,,,,,J1772,CA,,Accessible 24 heures par jour,,Public,,public,,,,,,,,,,,,,,,,,,,
ELEC,13150 Sherbrooke E,13150 Rue Sherbrooke Est,,Montréal,QC,H1A 4B1,,855-999-8378,E,,Public,24 hours daily,,,,,,2,,,Circuit électrique,https://lecircuitelectrique.com/,200-9,45.657871,-73.50843,2020-12-12,130891,2020-12-12 01:16:56 UTC,,,,,,,,,J1772,CA,,Accessible 24 heures par jour,,Public,,public,,,,,,,,,,,,,,,,,,,
ELEC,St-Hubert - Pointe-aux-Trembles,12575 rue Sherbrooke Est,,Pointe-aux-Trembles,QC,H1B 1C8,,855-999-8378,E,,Public,24 hours daily,,,,,,1,,,Circuit électrique,https://lecircuitelectrique.com/,GPS,45.65049362,-73.51167297,2020-12-12,165736,2020-12-12 01:16:56 UTC,,,,,,,,,J1772,CA,,Accessible 24 heures par jour,,Public,,public,,,,,,,,,,,,,,,,,,,
ELEC,Parc Montréal-Est,9839 rue Notre-Dame,,Montréal-Est,QC,H1B 2W6,,855-999-8378,E,,Public,24 hours daily,,,,,,1,,,Circuit électrique,https://lecircuitelectrique.com/,GPS,45.612501,-73.510362,2020-12-12,147414,2020-12-12 01:16:56 UTC,,,,,,,,,J1772,CA,,Accessible 24 heures par jour,,Public,,public,,,,,,,,,,,,,,,,,,,
ELEC,Ville de Montréal-Est - Bâtiment des travaux publics,11475 Victoria,,Montréal-Est,QC,H1B 2W6,,855-999-8378,E,,Public,24 hours daily,,,,,,1,,,Circuit électrique,https://lecircuitelectrique.com/,GPS,45.633213,-73.498013,2020-12-12,165742,2020-12-12 01:16:56 UTC,,,,,,,,,J1772,CA,,Accessible 24 heures par jour,,Public,,public,,,,,,,,,,,,,,,,,,,
ELEC,12125 Notre-Dame E : Centre communautaire Roussin,12125 Rue Notre-Dame est,,Montréal,QC,H1B 2Y9,,855-999-8378,E,,Public,24 hours daily,,,,,,2,,,Circuit électrique,https://lecircuitelectrique.com/,200-9,45.641126,-73.490415,2020-12-12,130878,2020-12-12 01:16:56 UTC,,,,,,,,,J1772,CA,,Accessible 24 heures par jour,,Public,,public,,,,,,,,,,,,,,,,,,,
ELEC,1515 Boulevard du Tricentenaire,1515 Boulevard du Tricentenaire,,Montréal,QC,H1B 3A9,,855-999-8378,E,,Public,24 hours daily,,,,,,2,2,,Circuit électrique,https://lecircuitelectrique.com/,200-9,45.651448,-73.499792,2020-12-12,145323,2020-12-12 01:16:56 UTC,,,,,,,,,CHADEMO J1772 J1772COMBO,CA,,Accessible 24 heures par jour,,Public,,public,,,,,,,,,,,,,,,,,,,
ELEC,3939 St-Jean-Baptiste,3939 St-Jean-Baptiste,,Montréal,QC,H1B 5V4,,855-999-8378,E,,Public,24 hours daily,,,,,,2,,,Circuit électrique,https://lecircuitelectrique.com/,200-8,46.808358,-71.338889,2020-12-12,133663,2020-12-12 01:16:56 UTC,,,,,,,,,J1772,CA,,Accessible 24 heures par jour,,Public,,public,,,,,,,,,,,,,,,,,,,
ELEC,SQI - Établissement Rivières-des-Prairies,11900 Armand-Chaput,,Montréal,QC,H1C 1S7,,888-356-8911,E,,Public,24 hours daily,,,,,,4,,,FLO,https://flo.ca/,200-9,45.660779,-73.535681,2020-12-12,129775,2020-12-12 01:12:25 UTC,,,,,,,,,J1772,CA,,Accessible 24 heures par jour,,Public,,public,,,,,,,,,,,,,,,,,,,
